TraderName,SampleSize,FirstCapital,LastCapital,Interest,ShortFailFlag,Long TradeCount,Long WinCount,Long LoseCount,Long WinRate,Long LoseRate,Long P/L,Long Profit,Long Loss,Long Cost,Long ProfitFactor,Short TradeCount,Short WinCount,Short LoseCount,Short WinRate,Short LoseRate,Short P/L,Short Profit,Short Loss,Short Cost,Short ProfitFactor,TradeCount,WinCount,LoseCount,WinRate,LoseRate,P/L,Profit,Loss,Cost,ProfitFactor,MaximalDrawdown,DrawdownFactor,ConsecutiveWinCount,ConsecutiveLoseCount
ControlChartBrain(24 10 25 50),73720,2.5E7,102596.54642643947,-0.9958961381429424,OK,1452,746,706,51.377,48.623,43427.069,215857.622,-172430.553,0.000,1.252,1378,652,726,47.315,52.685,59169.478,232128.800,-172959.322,0.000,1.342,2830,1398,1432,49.399,50.601,102596.546,447986.422,-345389.875,0.000,1.297,15842.757,6.475927635589887,11,12
ControlChartBrain(24 10 10 50),73720,2.5E7,102596.54642643947,-0.9958961381429424,OK,1452,746,706,51.377,48.623,43427.069,215857.622,-172430.553,0.000,1.252,1378,652,726,47.315,52.685,59169.478,232128.800,-172959.322,0.000,1.342,2830,1398,1432,49.399,50.601,102596.546,447986.422,-345389.875,0.000,1.297,15842.757,6.475927635589887,11,12
ControlChartBrain(24 10 40 30),73720,2.5E7,102596.54642643947,-0.9958961381429424,OK,1452,746,706,51.377,48.623,43427.069,215857.622,-172430.553,0.000,1.252,1378,652,726,47.315,52.685,59169.478,232128.800,-172959.322,0.000,1.342,2830,1398,1432,49.399,50.601,102596.546,447986.422,-345389.875,0.000,1.297,15842.757,6.475927635589887,11,12
ControlChartBrain(24 10 25 30),73720,2.5E7,102596.54642643947,-0.9958961381429424,OK,1452,746,706,51.377,48.623,43427.069,215857.622,-172430.553,0.000,1.252,1378,652,726,47.315,52.685,59169.478,232128.800,-172959.322,0.000,1.342,2830,1398,1432,49.399,50.601,102596.546,447986.422,-345389.875,0.000,1.297,15842.757,6.475927635589887,11,12
ControlChartBrain(24 10 55 50),73720,2.5E7,102596.54642643947,-0.9958961381429424,OK,1452,746,706,51.377,48.623,43427.069,215857.622,-172430.553,0.000,1.252,1378,652,726,47.315,52.685,59169.478,232128.800,-172959.322,0.000,1.342,2830,1398,1432,49.399,50.601,102596.546,447986.422,-345389.875,0.000,1.297,15842.757,6.475927635589887,11,12
ControlChartBrain(24 25 10 50),73720,2.5E7,102596.54642643947,-0.9958961381429424,OK,1452,746,706,51.377,48.623,43427.069,215857.622,-172430.553,0.000,1.252,1378,652,726,47.315,52.685,59169.478,232128.800,-172959.322,0.000,1.342,2830,1398,1432,49.399,50.601,102596.546,447986.422,-345389.875,0.000,1.297,15842.757,6.475927635589887,11,12
ControlChartBrain(24 10 55 30),73720,2.5E7,102596.54642643947,-0.9958961381429424,OK,1452,746,706,51.377,48.623,43427.069,215857.622,-172430.553,0.000,1.252,1378,652,726,47.315,52.685,59169.478,232128.800,-172959.322,0.000,1.342,2830,1398,1432,49.399,50.601,102596.546,447986.422,-345389.875,0.000,1.297,15842.757,6.475927635589887,11,12
ControlChartBrain(24 25 10 30),73720,2.5E7,102596.54642643947,-0.9958961381429424,OK,1452,746,706,51.377,48.623,43427.069,215857.622,-172430.553,0.000,1.252,1378,652,726,47.315,52.685,59169.478,232128.800,-172959.322,0.000,1.342,2830,1398,1432,49.399,50.601,102596.546,447986.422,-345389.875,0.000,1.297,15842.757,6.475927635589887,11,12
ControlChartBrain(24 25 25 30),73720,2.5E7,102596.54642643947,-0.9958961381429424,OK,1452,746,706,51.377,48.623,43427.069,215857.622,-172430.553,0.000,1.252,1378,652,726,47.315,52.685,59169.478,232128.800,-172959.322,0.000,1.342,2830,1398,1432,49.399,50.601,102596.546,447986.422,-345389.875,0.000,1.297,15842.757,6.475927635589887,11,12
ControlChartBrain(24 25 25 50),73720,2.5E7,102596.54642643947,-0.9958961381429424,OK,1452,746,706,51.377,48.623,43427.069,215857.622,-172430.553,0.000,1.252,1378,652,726,47.315,52.685,59169.478,232128.800,-172959.322,0.000,1.342,2830,1398,1432,49.399,50.601,102596.546,447986.422,-345389.875,0.000,1.297,15842.757,6.475927635589887,11,12
