TraderName,SampleSize,FirstCapital,LastCapital,Interest,ShortFailFlag,Long TradeCount,Long WinCount,Long LoseCount,Long WinRate,Long LoseRate,Long P/L,Long Profit,Long Loss,Long Cost,Long ProfitFactor,Short TradeCount,Short WinCount,Short LoseCount,Short WinRate,Short LoseRate,Short P/L,Short Profit,Short Loss,Short Cost,Short ProfitFactor,TradeCount,WinCount,LoseCount,WinRate,LoseRate,P/L,Profit,Loss,Cost,ProfitFactor,MaximalDrawdown,DrawdownFactor,ConsecutiveWinCount,ConsecutiveLoseCount
ControlChartBrain(24 55 40 50),371503,2.5E7,2.5270138395970296E7,0.010805535838811942,OK,7006,3388,3618,48.359,51.641,71962.581,302627.262,-230664.681,0.000,1.312,6924,3351,3573,48.397,51.603,62980.094,326469.979,-263489.885,0.000,1.239,13930,6739,7191,48.378,51.622,134942.675,629097.241,-494154.566,0.000,1.273,17912.215,7.5335559424184595,14,14
ControlChartBrain(24 55 55 30),371503,2.5E7,2.5270138395970296E7,0.010805535838811942,OK,7006,3388,3618,48.359,51.641,71962.581,302627.262,-230664.681,0.000,1.312,6924,3351,3573,48.397,51.603,62980.094,326469.979,-263489.885,0.000,1.239,13930,6739,7191,48.378,51.622,134942.675,629097.241,-494154.566,0.000,1.273,17912.215,7.5335559424184595,14,14
ControlChartBrain(24 10 25 50),371503,2.5E7,2.5260492721599936E7,0.010419708863997457,OK,7006,3388,3618,48.359,51.641,67163.689,297740.895,-230577.207,0.000,1.291,6924,3351,3573,48.397,51.603,62956.198,326345.999,-263389.801,0.000,1.239,13930,6739,7191,48.378,51.622,130119.886,624086.894,-493967.008,0.000,1.263,17905.381,7.267082684155315,14,14
ControlChartBrain(24 10 55 30),371503,2.5E7,2.5260492721599936E7,0.010419708863997457,OK,7006,3388,3618,48.359,51.641,67163.689,297740.895,-230577.207,0.000,1.291,6924,3351,3573,48.397,51.603,62956.198,326345.999,-263389.801,0.000,1.239,13930,6739,7191,48.378,51.622,130119.886,624086.894,-493967.008,0.000,1.263,17905.381,7.267082684155315,14,14
ControlChartBrain(24 10 10 30),371503,2.5E7,2.5260492721599936E7,0.010419708863997457,OK,7006,3388,3618,48.359,51.641,67163.689,297740.895,-230577.207,0.000,1.291,6924,3351,3573,48.397,51.603,62956.198,326345.999,-263389.801,0.000,1.239,13930,6739,7191,48.378,51.622,130119.886,624086.894,-493967.008,0.000,1.263,17905.381,7.267082684155315,14,14
ControlChartBrain(24 10 55 50),371503,2.5E7,2.5260492721599936E7,0.010419708863997457,OK,7006,3388,3618,48.359,51.641,67163.689,297740.895,-230577.207,0.000,1.291,6924,3351,3573,48.397,51.603,62956.198,326345.999,-263389.801,0.000,1.239,13930,6739,7191,48.378,51.622,130119.886,624086.894,-493967.008,0.000,1.263,17905.381,7.267082684155315,14,14
ControlChartBrain(24 10 40 30),371503,2.5E7,2.5260492721599936E7,0.010419708863997457,OK,7006,3388,3618,48.359,51.641,67163.689,297740.895,-230577.207,0.000,1.291,6924,3351,3573,48.397,51.603,62956.198,326345.999,-263389.801,0.000,1.239,13930,6739,7191,48.378,51.622,130119.886,624086.894,-493967.008,0.000,1.263,17905.381,7.267082684155315,14,14
ControlChartBrain(24 10 10 50),371503,2.5E7,2.5260492721599936E7,0.010419708863997457,OK,7006,3388,3618,48.359,51.641,67163.689,297740.895,-230577.207,0.000,1.291,6924,3351,3573,48.397,51.603,62956.198,326345.999,-263389.801,0.000,1.239,13930,6739,7191,48.378,51.622,130119.886,624086.894,-493967.008,0.000,1.263,17905.381,7.267082684155315,14,14
ControlChartBrain(24 10 40 50),371503,2.5E7,2.5260492721599936E7,0.010419708863997457,OK,7006,3388,3618,48.359,51.641,67163.689,297740.895,-230577.207,0.000,1.291,6924,3351,3573,48.397,51.603,62956.198,326345.999,-263389.801,0.000,1.239,13930,6739,7191,48.378,51.622,130119.886,624086.894,-493967.008,0.000,1.263,17905.381,7.267082684155315,14,14
ControlChartBrain(24 10 25 30),371503,2.5E7,2.5260492721599936E7,0.010419708863997457,OK,7006,3388,3618,48.359,51.641,67163.689,297740.895,-230577.207,0.000,1.291,6924,3351,3573,48.397,51.603,62956.198,326345.999,-263389.801,0.000,1.239,13930,6739,7191,48.378,51.622,130119.886,624086.894,-493967.008,0.000,1.263,17905.381,7.267082684155315,14,14
ControlChartBrain(24 25 10 30),371503,2.5E7,2.5270138395970296E7,0.010805535838811942,OK,7006,3388,3618,48.359,51.641,71962.581,302627.262,-230664.681,0.000,1.312,6924,3351,3573,48.397,51.603,62980.094,326469.979,-263489.885,0.000,1.239,13930,6739,7191,48.378,51.622,134942.675,629097.241,-494154.566,0.000,1.273,17912.215,7.5335559424184595,14,14
ControlChartBrain(24 25 10 50),371503,2.5E7,2.5270138395970296E7,0.010805535838811942,OK,7006,3388,3618,48.359,51.641,71962.581,302627.262,-230664.681,0.000,1.312,6924,3351,3573,48.397,51.603,62980.094,326469.979,-263489.885,0.000,1.239,13930,6739,7191,48.378,51.622,134942.675,629097.241,-494154.566,0.000,1.273,17912.215,7.5335559424184595,14,14
ControlChartBrain(24 25 25 30),371503,2.5E7,2.5270138395970296E7,0.010805535838811942,OK,7006,3388,3618,48.359,51.641,71962.581,302627.262,-230664.681,0.000,1.312,6924,3351,3573,48.397,51.603,62980.094,326469.979,-263489.885,0.000,1.239,13930,6739,7191,48.378,51.622,134942.675,629097.241,-494154.566,0.000,1.273,17912.215,7.5335559424184595,14,14
ControlChartBrain(24 25 25 50),371503,2.5E7,2.5270138395970296E7,0.010805535838811942,OK,7006,3388,3618,48.359,51.641,71962.581,302627.262,-230664.681,0.000,1.312,6924,3351,3573,48.397,51.603,62980.094,326469.979,-263489.885,0.000,1.239,13930,6739,7191,48.378,51.622,134942.675,629097.241,-494154.566,0.000,1.273,17912.215,7.5335559424184595,14,14
ControlChartBrain(24 25 40 50),371503,2.5E7,2.5270138395970296E7,0.010805535838811942,OK,7006,3388,3618,48.359,51.641,71962.581,302627.262,-230664.681,0.000,1.312,6924,3351,3573,48.397,51.603,62980.094,326469.979,-263489.885,0.000,1.239,13930,6739,7191,48.378,51.622,134942.675,629097.241,-494154.566,0.000,1.273,17912.215,7.5335559424184595,14,14
ControlChartBrain(24 25 40 30),371503,2.5E7,2.5270138395970296E7,0.010805535838811942,OK,7006,3388,3618,48.359,51.641,71962.581,302627.262,-230664.681,0.000,1.312,6924,3351,3573,48.397,51.603,62980.094,326469.979,-263489.885,0.000,1.239,13930,6739,7191,48.378,51.622,134942.675,629097.241,-494154.566,0.000,1.273,17912.215,7.5335559424184595,14,14
