TraderName,SampleSize,FirstCapital,LastCapital,Interest,ShortFailFlag,Long TradeCount,Long WinCount,Long LoseCount,Long WinRate,Long LoseRate,Long P/L,Long Profit,Long Loss,Long Cost,Long ProfitFactor,Short TradeCount,Short WinCount,Short LoseCount,Short WinRate,Short LoseRate,Short P/L,Short Profit,Short Loss,Short Cost,Short ProfitFactor,TradeCount,WinCount,LoseCount,WinRate,LoseRate,P/L,Profit,Loss,Cost,ProfitFactor,MaximalDrawdown,DrawdownFactor,ConsecutiveWinCount,ConsecutiveLoseCount
ControlChartBrain(48 25 40 50),366701,2.5E7,2.5611504828494597E7,0.02446019313978387,OK,0,0,0,-1.000,-1.000,0.000,0.000,0.000,0.000,0.000,3993,1971,2022,49.361,50.639,306000.792,686203.210,-380202.418,0.000,1.805,3993,1971,2022,49.361,50.639,306000.792,686203.210,-380202.418,0.000,1.805,32726.893,9.350132565044705,10,11
ControlChartBrain(48 25 55 30),366701,2.5E7,2.5611504828494597E7,0.02446019313978387,OK,0,0,0,-1.000,-1.000,0.000,0.000,0.000,0.000,0.000,3993,1971,2022,49.361,50.639,306000.792,686203.210,-380202.418,0.000,1.805,3993,1971,2022,49.361,50.639,306000.792,686203.210,-380202.418,0.000,1.805,32726.893,9.350132565044705,10,11
ControlChartBrain(48 25 55 50),366701,2.5E7,2.5611504828494597E7,0.02446019313978387,OK,0,0,0,-1.000,-1.000,0.000,0.000,0.000,0.000,0.000,3993,1971,2022,49.361,50.639,306000.792,686203.210,-380202.418,0.000,1.805,3993,1971,2022,49.361,50.639,306000.792,686203.210,-380202.418,0.000,1.805,32726.893,9.350132565044705,10,11
ControlChartBrain(48 10 55 30),366701,2.5E7,2.5611504828494597E7,0.02446019313978387,OK,0,0,0,-1.000,-1.000,0.000,0.000,0.000,0.000,0.000,3993,1971,2022,49.361,50.639,306000.792,686203.210,-380202.418,0.000,1.805,3993,1971,2022,49.361,50.639,306000.792,686203.210,-380202.418,0.000,1.805,32726.893,9.350132565044705,10,11
ControlChartBrain(48 40 10 30),366701,2.5E7,2.5611504828494597E7,0.02446019313978387,OK,0,0,0,-1.000,-1.000,0.000,0.000,0.000,0.000,0.000,3993,1971,2022,49.361,50.639,306000.792,686203.210,-380202.418,0.000,1.805,3993,1971,2022,49.361,50.639,306000.792,686203.210,-380202.418,0.000,1.805,32726.893,9.350132565044705,10,11
ControlChartBrain(48 40 25 30),366701,2.5E7,2.5611504828494597E7,0.02446019313978387,OK,0,0,0,-1.000,-1.000,0.000,0.000,0.000,0.000,0.000,3993,1971,2022,49.361,50.639,306000.792,686203.210,-380202.418,0.000,1.805,3993,1971,2022,49.361,50.639,306000.792,686203.210,-380202.418,0.000,1.805,32726.893,9.350132565044705,10,11
ControlChartBrain(48 40 10 50),366701,2.5E7,2.5611504828494597E7,0.02446019313978387,OK,0,0,0,-1.000,-1.000,0.000,0.000,0.000,0.000,0.000,3993,1971,2022,49.361,50.639,306000.792,686203.210,-380202.418,0.000,1.805,3993,1971,2022,49.361,50.639,306000.792,686203.210,-380202.418,0.000,1.805,32726.893,9.350132565044705,10,11
ControlChartBrain(48 40 40 30),366701,2.5E7,2.5611504828494597E7,0.02446019313978387,OK,0,0,0,-1.000,-1.000,0.000,0.000,0.000,0.000,0.000,3993,1971,2022,49.361,50.639,306000.792,686203.210,-380202.418,0.000,1.805,3993,1971,2022,49.361,50.639,306000.792,686203.210,-380202.418,0.000,1.805,32726.893,9.350132565044705,10,11
ControlChartBrain(24 10 10 50),366701,2.5E7,2.5729845772665046E7,0.02919383090660177,OK,0,0,0,-1.000,-1.000,0.000,0.000,0.000,0.000,0.000,5310,2663,2647,50.151,49.849,365172.412,823059.874,-457887.462,0.000,1.798,5310,2663,2647,50.151,49.849,365172.412,823059.874,-457887.462,0.000,1.798,29558.164,12.354367327225217,11,12
ControlChartBrain(24 10 40 30),366701,2.5E7,2.5729845772665046E7,0.02919383090660177,OK,0,0,0,-1.000,-1.000,0.000,0.000,0.000,0.000,0.000,5310,2663,2647,50.151,49.849,365172.412,823059.874,-457887.462,0.000,1.798,5310,2663,2647,50.151,49.849,365172.412,823059.874,-457887.462,0.000,1.798,29558.164,12.354367327225217,11,12
